"internal_id","qualtrics_site","qualtrics_participant","qualtrics_datefirsttest","qualtrics_countryname","qualtrics_userlanguage","qualtrics_language","calc_duplicateflag","calc_numeracycomplete","calc_agegiven","calc_ageams","calc_agediff","calc_yeardiff","internal_needstobechecked","calc_agegroupgiven","calc_agegroupams","task_demographics","task_given","task_highestcount","file_ams","task_ams","task_vm","qualtrics_notes"
"iucoglearn_mn085","iucoglearn","mn085","10/09/2025","United States","EN","English",0,3,3.521,3.5,0.0209999999999999,0,0,"agegroup2","agegroup2","1","1","1","1","48","0","During VM single trial, there was an item she got right, but she accidentally touched the trackpad as it was on the next button, so marked as skipped. Chose to end the VM task early but got up to 3 items"
"iucoglearn_mn086","iucoglearn","mn086","10-11-2025","United States","EN","English",0,3,4.518,4.5,0.0179999999999998,0,0,"agegroup2","agegroup2","1","1","1","1","48","1",NA
"iucoglearn_mn087","iucoglearn","mn087","10-21-2025","United States","EN","English",0,3,5.014,5,0.0140000000000002,0,0,"agegroup2","agegroup2","1","1","1","1","48","1",NA
"iucoglearn_mn088","iucoglearn","mn088","10-21-2025","United States","EN","English",0,3,2.795,2.75,0.0449999999999999,0,0,"agegroup1","agegroup1","1","1","1","1","48","1",NA
"iucoglearn_mn089","iucoglearn","mn089","11-07-2025","United States","EN","English",0,3,3.915,3.833,0.0819999999999999,0,0,"agegroup2","agegroup2","1","1","1","1","31",NA,"child took short potty break halfway through second block of Give-N"
"iucoglearn_mn090","iucoglearn","mn090","11-14-2025","United States","EN","English",0,3,5.521,5.5,0.0209999999999999,0,0,"agegroup2","agegroup2","1","1","1","1","48","1","During VM task there is a trial where child accidentally touched next button before experimenter marked their correct response so that trial will present as no images selected (child got it correct)"
"iucoglearn_mn091","iucoglearn","mn091","11-14-2025","United States","EN","English",0,NA,5.521,5.5,0.0209999999999999,0,0,"agegroup2","agegroup2","1",NA,"1","1","48","1",NA
"iucoglearn_mn092","iucoglearn","mn092","11-16-2025","United States","EN","English",0,3,5.619,5.583,0.0359999999999996,0,0,"agegroup2","agegroup2","1","1","1","1","48","1","In demographics form, parent marked no for developmental delay/disabilities but noted ""speech therapy"""
"iucoglearn_mn093","iucoglearn","mn093","11-17-2025","United States","EN","English",0,3,5.521,5.5,0.0209999999999999,0,0,"agegroup2","agegroup2","1","1","1","1","48","1",NA
"iucoglearn_mn094","iucoglearn","mn094","11-14-2025","United States","EN","English",0,3,3.584,3.583,0.00099999999999989,0,0,"agegroup2","agegroup2","1","1","1","1","48","1",NA
"iucoglearn_mn096","iucoglearn","mn096","01-06-2026","United States","EN","English",0,3,2.986,2.917,0.0690000000000004,0,0,"agegroup1","agegroup1","1","1","1","1","48","1",NA
"iucoglearn_mn097","iucoglearn","mn097","01-17-2026","United States","EN","English/Spanish",0,2,2.553,2.5,0.0529999999999999,0,0,"agegroup1","agegroup1","1","0","1","1","20",NA,"For Give-N first trial, child had 20 on plate up until I asked ""is that 1?"" then put them all into bowl then with 0 ducks on plate, responded that yes there was one on the plate. 0 is not an option however so marked 20"
