"participant","DayOfBirth","MonthOfBirth","YearOfBirth","age_years","age_months","AgeGroup","SiteID","Language","RemoveDOB","date","expName","psychopyVersion","visual_stimuli","age_group","block","block_displayed","test_trials","numRatio","convex_hull","avg_ind_Dot_size","cum_Surf","cum_perim","Num_1","Num_2","ConvHull_1","ConvHull_2","TotSurf_1","TotSurf_2","ADBD_1","ADBD_2","AvDiameter_1","AvDiameter_2","TotContour_1","TotContour_2","ADfC_1","ADfC_2","TS_CH_1","TS_CH_2","isa_1","isa_2","threefeat","threefeat_num","fourfeat","choice_right1","totaltime_exp","corAns","choice","accuracy","rt","filename","version"
"mn088",4,1,2023,2,9,"3 or younger","iucoglearn","English","no","2025-10-21_10h17.06.985","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","sample7_rect.png","all","sample",NA,1,4,"None","equated","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2664.31844269997,"s","l",0,4.67075639998075,"mn088","local"
"mn088",4,1,2023,2,9,"3 or younger","iucoglearn","English","no","2025-10-21_10h17.06.985","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","sample7_rect.png","all","sample",NA,1,4,"None","equated","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2664.31844269997,"s","s",1,2.25703310000245,"mn088","local"
"mn088",4,1,2023,2,9,"3 or younger","iucoglearn","English","no","2025-10-21_10h17.06.985","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","sample8_rect.png","all","sample",NA,1,3.5,"None","equated","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2664.31844269997,"l","l",1,2.40696350001963,"mn088","local"
"mn088",4,1,2023,2,9,"3 or younger","iucoglearn","English","no","2025-10-21_10h17.06.985","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice5_rect.png","all","practice",NA,5,3.5,"0","0","equated","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2664.31844269997,"s","s",1,2.25511630001711,"mn088","local"
"mn088",4,1,2023,2,9,"3 or younger","iucoglearn","English","no","2025-10-21_10h17.06.985","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice4_rect.png","all","practice",NA,4,3.5,"equated","equated","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2664.31844269997,"l","s",0,2.00979789998382,"mn088","local"
"mn088",4,1,2023,2,9,"3 or younger","iucoglearn","English","no","2025-10-21_10h17.06.985","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice1_rect.png","all","practice",NA,1,4,"equated","equated","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2664.31844269997,"s","s",1,2.25215230003232,"mn088","local"
"mn088",4,1,2023,2,9,"3 or younger","iucoglearn","English","no","2025-10-21_10h17.06.985","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice2_rect.png","all","practice",NA,2,4,"0","0","equated","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2664.31844269997,"l","l",1,2.6730345999822,"mn088","local"
"mn088",4,1,2023,2,9,"3 or younger","iucoglearn","English","no","2025-10-21_10h17.06.985","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice6_rect.png","all","practice",NA,6,3.5,"equated","0","0","equated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2664.31844269997,"l","s",0,2.57010210002773,"mn088","local"
"mn088",4,1,2023,2,9,"3 or younger","iucoglearn","English","no","2025-10-21_10h17.06.985","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice3_rect.png","all","practice",NA,3,4,"equated","0","0","equated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2664.31844269997,"s","s",1,2.31883430003654,"mn088","local"
"mn088",4,1,2023,2,9,"3 or younger","iucoglearn","English","no","2025-10-21_10h17.06.985","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Age3_test34_rect.png","3","block1","b1",34,3,"equated","0","0","equated",33,11,118000,118000,8680,26182,36,57,18,54,1877,1877,132,119,0.073404,0.22154,254.469004940773,2290.22104446696,"0_0_equated",1,"1_equated",1,2664.31844269997,"s","l",0,1.70739339996362,"mn088","local"
"mn088",4,1,2023,2,9,"3 or younger","iucoglearn","English","no","2025-10-21_10h17.06.985","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Age3_test9_rect.png","3","block1","b1",9,2,"equated","equated","0","0",20,10,152000,153000,6000,3000,72,131,19,19,1210,606,158,183,0.039355,0.019661,283.528736986479,283.528736986479,"equated_0_0",3,"3_equated",0,2664.31844269997,"s","s",1,1.18917480000528,"mn088","local"
"mn088",4,1,2023,2,9,"3 or younger","iucoglearn","English","no","2025-10-21_10h17.06.985","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Age3_test8_rect.png","3","block1","b1",8,2.5,"0","equated","0","0",16,40,180000,196000,4800,12000,89,45,19,19,967,2421,179,176,0.026727,0.061347,283.528736986479,283.528736986479,"equated_0_0",3,"30.0",1,2664.31844269997,"l","l",1,2.1525100999861,"mn088","local"
"mn088",4,1,2023,2,9,"3 or younger","iucoglearn","English","no","2025-10-21_10h17.06.985","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Age3_test45_rect.png","3","block1","b1",45,1.5,"equated","0","0","equated",10,15,42925,42934,19862,13476,28,22,50,33,1563,1563,54,65,0.46271,0.31388,1963.49540849362,855.298599939821,"0_0_equated",1,"1_equated",0,2664.31844269997,"l","s",0,1.36225289996946,"mn088","local"
"mn088",4,1,2023,2,9,"3 or younger","iucoglearn","English","no","2025-10-21_10h17.06.985","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Age3_test6_rect.png","3","block1","b1",6,2.5,"equated","equated","0","0",12,30,115000,115000,3600,9000,100,38,19,19,728,1812,146,131,0.031405,0.078512,283.528736986479,283.528736986479,"equated_0_0",3,"3_equated",0,2664.31844269997,"l","s",0,1.61278359999415,"mn088","local"
"mn088",4,1,2023,2,9,"3 or younger","iucoglearn","English","no","2025-10-21_10h17.06.985","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Age3_test12_rect.png","3","block1","b1",12,2,"0","equated","0","0",20,40,172000,218000,6000,12000,81,53,19,19,1218,2430,175,180,0.034857,0.055041,283.528736986479,283.528736986479,"equated_0_0",3,"30.0",1,2664.31844269997,"l","l",1,1.23774839995895,"mn088","local"
"mn088",4,1,2023,2,9,"3 or younger","iucoglearn","English","no","2025-10-21_10h17.06.985","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Age3_test24_rect.png","3","block1","b1",24,2.5,"equated","0","equated","0",40,16,140000,140000,5258,5258,47,78,13,20,1609,1019,150,159,0.037528,0.037535,132.732289614169,314.159265358979,"0_equated_0",2,"2_equated",0,2664.31844269997,"s","s",1,1.64822580001783,"mn088","local"
"mn088",4,1,2023,2,9,"3 or younger","iucoglearn","English","no","2025-10-21_10h17.06.985","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Age3_test40_rect.png","3","block1","b1",40,2.5,"0","0","0","equated",40,16,199000,207000,4702,11780,58,86,12,30,1512,1512,190,201,0.023607,0.056887,113.097335529233,706.858347057703,"0_0_equated",1,"10.0",0,2664.31844269997,"s","s",1,1.22705069999211,"mn088","local"
"mn088",4,1,2023,2,9,"3 or younger","iucoglearn","English","no","2025-10-21_10h17.06.985","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Age3_test15_rect.png","3","block1","b1",15,1.5,"0","equated","0","0",33,22,194000,190000,9900,6600,57,73,19,19,2003,1328,170,170,0.050945,0.034756,283.528736986479,283.528736986479,"equated_0_0",3,"30.0",1,2664.31844269997,"s","l",0,1.66900150000583,"mn088","local"
"mn088",4,1,2023,2,9,"3 or younger","iucoglearn","English","no","2025-10-21_10h17.06.985","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Age3_test32_rect.png","3","block1","b1",32,1.5,"equated","0","equated","0",39,26,86151,86165,6498,6498,30,37,14,18,1769,1440,104,122,0.075426,0.075413,153.9380400259,254.469004940773,"0_equated_0",2,"2_equated",0,2664.31844269997,"s","s",1,2.18035700003384,"mn088","local"
"mn088",4,1,2023,2,9,"3 or younger","iucoglearn","English","no","2025-10-21_10h17.06.985","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Age3_test47_rect.png","3","block1","b1",47,1.5,"0","0","0","equated",22,33,195000,205000,8438,5681,80,63,22,15,1511,1511,165,192,0.043254,0.027701,380.132711084365,176.714586764426,"0_0_equated",1,"10.0",0,2664.31844269997,"l","s",0,1.42732229997637,"mn088","local"
"mn088",4,1,2023,2,9,"3 or younger","iucoglearn","English","no","2025-10-21_10h17.06.985","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Age3_test3_rect.png","3","block1","b1",3,3,"0","equated","0","0",36,12,199000,141000,10800,3600,53,97,19,19,2187,734,185,177,0.054346,0.025618,283.528736986479,283.528736986479,"equated_0_0",3,"30.0",0,2664.31844269997,"s","s",1,1.10122449998744,"mn088","local"
