"gn_participant","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete"
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN01",1,"20",20,0,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN11",1,"1",1,1,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN19",1,"1",1,1,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN02",2,"2",2,1,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN015",2,"2",2,1,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN18",2,"2",2,1,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN07",3,"3",3,1,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN14",3,"13",13,0,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN23",3,"20",20,0,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN03",4,"3",3,0,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN09",4,"3",3,0,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN21",4,"20",20,0,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN06",5,"6",6,0,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN12",5,"6",6,0,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN20",5,"20",20,0,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN05",6,"3",3,0,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN10",6,"7",7,0,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN24",6,"20",20,0,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN04",8,"3",3,0,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN16",8,"20",20,0,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN22",8,"6",6,0,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN08",10,"6",6,0,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN13",10,"4",4,0,1
"mn096","iucoglearn","R_7IuaDjeOKXQLg5P","Yes (Please include date of testing)","01-06-2026","","GN17",10,"20",20,0,1
