"participant","DayOfBirth","MonthOfBirth","YearOfBirth","age_years","age_months","AgeGroup","SiteID","Language","RemoveDOB","date","expName","psychopyVersion","visual_stimuli","age_group","block","block_displayed","test_trials","numRatio","convex_hull","avg_ind_Dot_size","cum_Surf","cum_perim","Num_1","Num_2","ConvHull_1","ConvHull_2","TotSurf_1","TotSurf_2","ADBD_1","ADBD_2","AvDiameter_1","AvDiameter_2","TotContour_1","TotContour_2","ADfC_1","ADfC_2","TS_CH_1","TS_CH_2","isa_1","isa_2","threefeat","threefeat_num","fourfeat","choice_right1","totaltime_exp","corAns","choice","accuracy","rt","filename","version"
"mn097",29,6,2023,2,6,"3 or younger","iucoglearn","English","no","2026-01-17_09h50.55.420","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","sample8_rect.png","all","sample",NA,1,3.5,"None","equated","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"l","s",0,7.0012270999996,"mn097","local"
"mn097",29,6,2023,2,6,"3 or younger","iucoglearn","English","no","2026-01-17_09h50.55.420","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","sample8_rect.png","all","sample",NA,1,3.5,"None","equated","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"l","s",0,3.42123790000005,"mn097","local"
"mn097",29,6,2023,2,6,"3 or younger","iucoglearn","English","no","2026-01-17_09h50.55.420","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","sample7_rect.png","all","sample",NA,1,4,"None","equated","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"s","s",1,7.87748669999974,"mn097","local"
"mn097",29,6,2023,2,6,"3 or younger","iucoglearn","English","no","2026-01-17_09h50.55.420","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice3_rect.png","all","practice",NA,3,4,"equated","0","0","equated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"s","s",1,6.30883710000035,"mn097","local"
"mn097",29,6,2023,2,6,"3 or younger","iucoglearn","English","no","2026-01-17_09h50.55.420","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice5_rect.png","all","practice",NA,5,3.5,"0","0","equated","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"s","s",1,3.24091420000013,"mn097","local"
"mn097",29,6,2023,2,6,"3 or younger","iucoglearn","English","no","2026-01-17_09h50.55.420","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice1_rect.png","all","practice",NA,1,4,"equated","equated","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"s","s",1,13.8671532999997,"mn097","local"
"mn097",29,6,2023,2,6,"3 or younger","iucoglearn","English","no","2026-01-17_09h50.55.420","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice6_rect.png","all","practice",NA,6,3.5,"equated","0","0","equated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"l","s",0,3.72722339999973,"mn097","local"
"mn097",29,6,2023,2,6,"3 or younger","iucoglearn","English","no","2026-01-17_09h50.55.420","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice4_rect.png","all","practice",NA,4,3.5,"equated","equated","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"l","s",0,7.27139720000014,"mn097","local"
"mn097",29,6,2023,2,6,"3 or younger","iucoglearn","English","no","2026-01-17_09h50.55.420","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice2_rect.png","all","practice",NA,2,4,"0","0","equated","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"l","s",0,5.65494500000023,"mn097","local"
"mn097",29,6,2023,2,6,"3 or younger","iucoglearn","English","no","2026-01-17_09h50.55.420","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice5_rect.png","all","practice",NA,5,3.5,"0","0","equated","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"s","s",1,12.5657738,"mn097","local"
"mn097",29,6,2023,2,6,"3 or younger","iucoglearn","English","no","2026-01-17_09h50.55.420","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice4_rect.png","all","practice",NA,4,3.5,"equated","equated","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"l","s",0,14.7040195999998,"mn097","local"
"mn097",29,6,2023,2,6,"3 or younger","iucoglearn","English","no","2026-01-17_09h50.55.420","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice3_rect.png","all","practice",NA,3,4,"equated","0","0","equated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"s","s",1,29.4448709000003,"mn097","local"
"mn097",29,6,2023,2,6,"3 or younger","iucoglearn","English","no","2026-01-17_09h50.55.420","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice6_rect.png","all","practice",NA,6,3.5,"equated","0","0","equated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"l","s",0,17.7583219999997,"mn097","local"
"mn097",29,6,2023,2,6,"3 or younger","iucoglearn","English","no","2026-01-17_09h50.55.420","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice2_rect.png","all","practice",NA,2,4,"0","0","equated","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"l","l",1,34.3213015000001,"mn097","local"
"mn097",29,6,2023,2,6,"3 or younger","iucoglearn","English","no","2026-01-17_09h50.55.420","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice1_rect.png","all","practice",NA,1,4,"equated","equated","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"s","s",1,13.2249764000003,"mn097","local"
"mn097",29,6,2023,2,6,"3 or younger","iucoglearn","English","no","2026-01-17_09h50.55.420","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Age3_test20_rect.png","3","block1","b2",20,3,"equated","0","equated","0",39,13,83464,83497,8890,8890,27,51,17,29,2061,1186,103,110,0.10651,0.10647,226.980069221863,660.519855417254,"0_equated_0",2,"2_equated",0,NA,"s","s",1,50.0285383,"mn097","local"
"mn097",29,6,2023,2,6,"3 or younger","iucoglearn","English","no","2026-01-17_09h50.55.420","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Age3_test39_rect.png","3","block1","b2",39,2.5,"0","0","0","equated",14,35,187000,194000,21696,8705,72,45,44,18,1931,1931,181,171,0.11624,0.044812,1520.53084433746,254.469004940773,"0_0_equated",1,"10.0",1,NA,"l","l",1,2.13493259999996,"mn097","local"
"mn097",29,6,2023,2,6,"3 or younger","iucoglearn","English","no","2026-01-17_09h50.55.420","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Age3_test30_rect.png","3","block1","b2",30,1.5,"0","0","equated","0",21,14,162000,132000,4357,4357,71,78,16,20,1062,867,179,164,0.026833,0.033121,201.061929829747,314.159265358979,"0_equated_0",2,"20.0",1,NA,"s","l",0,26.5753261,"mn097","local"
"mn097",29,6,2023,2,6,"3 or younger","iucoglearn","English","no","2026-01-17_09h50.55.420","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Age3_test37_rect.png","3","block1","b2",37,2.5,"equated","0","0","equated",10,25,47827,47821,23422,9368,21,23,54,21,1688,1688,61,79,0.48972,0.1959,2290.22104446696,346.360590058275,"0_0_equated",1,"1_equated",0,NA,"l","s",0,4.22153100000014,"mn097","local"
"mn097",29,6,2023,2,6,"3 or younger","iucoglearn","English","no","2026-01-17_09h50.55.420","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Age3_test5_rect.png","3","block1","b2",5,2.5,"equated","equated","0","0",25,10,79037,78988,7500,3000,41,84,19,19,1519,610,109,122,0.094892,0.03798,283.528736986479,283.528736986479,"equated_0_0",3,"3_equated",1,NA,"s","l",0,44.1463738000002,"mn097","local"
